;"Day";"DJIA.Close";"N225.Close";"SSMI.Close"
2005-09-14;2005-09-14;10558,75;12834,25;6731,600098
2005-09-15;2005-09-15;10558,75;12986,780273;6752,799805
2005-09-16;2005-09-16;10641,94043;12958,679688;6810,299805
2005-09-20;2005-09-20;10481,519531;13148,570313;6835,700195
2005-09-21;2005-09-21;10378,030273;13196,570313;6761
2005-09-22;2005-09-22;10422,049805;13159,360352;6735,799805
2005-09-26;2005-09-26;10443,629883;13392,629883;6852,200195
2005-09-27;2005-09-27;10456,209961;13310,040039;6852
2005-09-28;2005-09-28;10473,080078;13435,910156;6904,799805
2005-09-29;2005-09-29;10552,780273;13617,240234;6860,399902
2005-09-30;2005-09-30;10568,700195;13574,299805;6898,899902
2005-10-03;2005-10-03;10535,480469;13525,280273;7005,600098
2005-10-04;2005-10-04;10441,110352;13738,839844;7042,299805
2005-10-05;2005-10-05;10317,360352;13689,889648;7026,399902
2005-10-06;2005-10-06;10287,099609;13359,509766;6939,200195
2005-10-07;2005-10-07;10292,30957;13227,740234;6947
2005-10-11;2005-10-11;10253,169922;13556,709961;6965,700195
2005-10-12;2005-10-12;10216,900391;13463,740234;6919
2005-10-13;2005-10-13;10216,589844;13449,240234;6868,100098
2005-10-14;2005-10-14;10287,339844;13420,540039;6871,200195
2005-10-17;2005-10-17;10348,099609;13400,290039;6883,399902
2005-10-18;2005-10-18;10285,259766;13352,240234;6946
2005-10-19;2005-10-19;10414,129883;13129,490234;6820,399902
2005-10-20;2005-10-20;10281,099609;13190,459961;6885,399902
2005-10-21;2005-10-21;10215,219727;13199,950195;6851,600098
2005-10-24;2005-10-24;10385;13106,179688;6911,799805
2005-10-25;2005-10-25;10377,870117;13280,620117;6939,700195
2005-10-26;2005-10-26;10344,980469;13395,019531;6972,399902
2005-10-27;2005-10-27;10229,950195;13417,080078;6919,600098
2005-10-28;2005-10-28;10402,769531;13346,540039;6874,899902
2005-10-31;2005-10-31;10440,070313;13606,5;7036,600098
2005-11-01;2005-11-01;10406,769531;13867,860352;7100,600098
2005-11-02;2005-11-02;10472,730469;13894,780273;7117,399902
2005-11-04;2005-11-04;10530,759766;14075,959961;7205
2005-11-07;2005-11-07;10586,230469;14061,599609;7253,700195
2005-11-08;2005-11-08;10539,719727;14036,730469;7257,5
2005-11-09;2005-11-09;10546,209961;14072,200195;7238,5
2005-11-10;2005-11-10;10640,099609;14080,879883;7243,100098
2005-11-11;2005-11-11;10686,040039;14155,05957;7351,299805
2005-11-14;2005-11-14;10697,169922;14116,040039;7313
2005-11-15;2005-11-15;10686,44043;14091,769531;7322,700195
2005-11-16;2005-11-16;10674,759766;14170,870117;7268,5
2005-11-17;2005-11-17;10720,219727;14411,790039;7329,899902
2005-11-18;2005-11-18;10766,330078;14623,120117;7431,399902
2005-11-21;2005-11-21;10820,280273;14680,429688;7452,299805
2005-11-22;2005-11-22;10871,429688;14708,320313;7467,700195
2005-11-25;2005-11-25;10931,620117;14784,290039;7498,700195
2005-11-28;2005-11-28;10890,719727;14986,94043;7427,5
2005-11-29;2005-11-29;10888,160156;14927,700195;7440,700195
2005-11-30;2005-11-30;10805,870117;14872,150391;7407,5
2005-12-01;2005-12-01;10912,570313;15130,5;7536,899902
2005-12-02;2005-12-02;10877,509766;15421,599609;7589,299805
2005-12-05;2005-12-05;10835,009766;15551,30957;7584,799805
2005-12-06;2005-12-06;10856,860352;15423,379883;7612
2005-12-07;2005-12-07;10810,910156;15484,660156;7588,799805
2005-12-08;2005-12-08;10755,120117;15183,360352;7560
2005-12-09;2005-12-09;10778,580078;15404,049805;7567,399902
2005-12-12;2005-12-12;10767,769531;15738,700195;7567,5
2005-12-13;2005-12-13;10823,719727;15778,860352;7577,399902
2005-12-14;2005-12-14;10883,509766;15464,580078;7516,299805
2005-12-15;2005-12-15;10881,669922;15254,44043;7458
2005-12-16;2005-12-16;10875,589844;15173,070313;7491
2005-12-19;2005-12-19;10836,530273;15391,480469;7532,899902
2005-12-20;2005-12-20;10805,549805;15641,259766;7516,700195
2005-12-21;2005-12-21;10833,730469;15957,570313;7547,5
2005-12-22;2005-12-22;10889,44043;15941,370117;7515,200195
2005-12-27;2005-12-27;10777,769531;15969,400391;7548,799805
2005-12-28;2005-12-28;10796,259766;16194,610352;7559,100098
2005-12-29;2005-12-29;10784,820313;16344,200195;7620
2005-12-30;2005-12-30;10717,5;16111,429688;7583,899902
2006-01-04;2006-01-04;10880,150391;16361,540039;7723,700195
2006-01-05;2006-01-05;10882,150391;16425,369141;7703,299805
2006-01-06;2006-01-06;10959,30957;16428,210938;7718,5
2006-01-10;2006-01-10;11011,580078;16124,349609;7663,700195
2006-01-11;2006-01-11;11043,44043;16363,589844;7752,100098
2006-01-12;2006-01-12;10962,360352;16445,189453;7798,100098
2006-01-13;2006-01-13;10959,870117;16454,949219;7802,5
2006-01-17;2006-01-17;10896,320313;15805,950195;7785,600098
2006-01-18;2006-01-18;10854,860352;15341,179688;7726,5
2006-01-19;2006-01-19;10880,709961;15696,280273;7771,600098
2006-01-20;2006-01-20;10667,389648;15696,69043;7697,5
2006-01-23;2006-01-23;10688,769531;15360,650391;7702,700195
2006-01-24;2006-01-24;10712,219727;15648,889648;7692,600098
2006-01-25;2006-01-25;10709,740234;15651;7682,700195
2006-01-26;2006-01-26;10809,469727;15891,019531;7749,399902
2006-01-27;2006-01-27;10907,209961;16460,679688;7779,399902
2006-01-30;2006-01-30;10899,919922;16551,230469;7789,299805
2006-01-31;2006-01-31;10864,860352;16649,820313;7810,899902
2006-02-01;2006-02-01;10953,950195;16480,089844;7836,200195
2006-02-02;2006-02-02;10851,980469;16710,550781;7785,899902
2006-02-03;2006-02-03;10793,620117;16659,640625;7840,799805
2006-02-06;2006-02-06;10798,269531;16747,759766;7839,600098
2006-02-07;2006-02-07;10749,759766;16720,990234;7837,299805
2006-02-08;2006-02-08;10858,620117;16272,679688;7831,899902
2006-02-09;2006-02-09;10883,349609;16439,669922;7873,600098
2006-02-10;2006-02-10;10919,049805;16257,830078;7861,600098
2006-02-13;2006-02-13;10892,320313;15877,660156;7889,299805
2006-02-14;2006-02-14;11028,389648;16184,870117;7882,399902
2006-02-15;2006-02-15;11058,969727;15932,830078;7797,200195
2006-02-16;2006-02-16;11120,679688;16043,669922;7906,600098
2006-02-17;2006-02-17;11115,320313;15713,450195;7917,100098
2006-02-21;2006-02-21;11069,05957;15894,94043;8002,600098
2006-02-22;2006-02-22;11137,169922;15781,780273;8040,5
2006-02-23;2006-02-23;11069,219727;16096,099609;7983,799805
2006-02-24;2006-02-24;11061,849609;16101,910156;7954,299805
2006-02-27;2006-02-27;11097,549805;16192,950195;7995
2006-02-28;2006-02-28;10993,410156;16205,429688;7892,600098
2006-03-01;2006-03-01;11053,530273;15964,459961;7980,399902
2006-03-02;2006-03-02;11025,509766;15909,759766;7926,200195
2006-03-03;2006-03-03;11021,589844;15663,339844;7916
2006-03-06;2006-03-06;10958,589844;15901,160156;7917,200195
2006-03-07;2006-03-07;10980,69043;15726,019531;7864,299805
2006-03-08;2006-03-08;11005,740234;15627,490234;7831,5
2006-03-09;2006-03-09;10972,280273;16036,910156;7860,700195
2006-03-10;2006-03-10;11076,339844;16115,629883;7970,600098
2006-03-13;2006-03-13;11076,019531;16361,509766;8035,399902
2006-03-14;2006-03-14;11151,339844;16238,360352;8034,200195
2006-03-15;2006-03-15;11209,769531;16319,040039;8012,600098
2006-03-16;2006-03-16;11253,240234;16096,209961;8018
2006-03-17;2006-03-17;11279,650391;16339,730469;8047,100098
2006-03-20;2006-03-20;11274,530273;16624,800781;8059,399902
2006-03-22;2006-03-22;11317,429688;16495,480469;8064
2006-03-23;2006-03-23;11270,290039;16489,369141;8024,100098
2006-03-24;2006-03-24;11279,969727;16560,869141;8045,100098
2006-03-27;2006-03-27;11250,110352;16650,099609;7980,899902
2006-03-28;2006-03-28;11154,540039;16690,240234;7972,899902
2006-03-29;2006-03-29;11215,700195;16938,410156;7983,399902
2006-03-30;2006-03-30;11150,700195;17045,339844;8035,299805
2006-03-31;2006-03-31;11109,320313;17059,660156;8023,299805
2006-04-03;2006-04-03;11144,94043;17333,310547;8078,5
2006-04-04;2006-04-04;11203,849609;17292,910156;8051,600098
2006-04-05;2006-04-05;11239,549805;17243,980469;8090,5
2006-04-06;2006-04-06;11216,5;17489,330078;8102,299805
2006-04-07;2006-04-07;11120,040039;17563,369141;8105,200195
2006-04-10;2006-04-10;11141,330078;17456,580078;8109,299805
2006-04-11;2006-04-11;11089,629883;17418,130859;8029,100098
2006-04-12;2006-04-12;11129,969727;17162,550781;7976,600098
2006-04-13;2006-04-13;11137,650391;17199,150391;8007,299805
2006-04-18;2006-04-18;11268,769531;17232,859375;7961,399902
2006-04-19;2006-04-19;11278,769531;17350,119141;8050,899902
2006-04-20;2006-04-20;11342,889648;17317,529297;8057
2006-04-21;2006-04-21;11347,450195;17403,960938;8093,5
2006-04-24;2006-04-24;11336,320313;16914,400391;8076,299805
2006-04-25;2006-04-25;11283,25;16970,289063;8041
2006-04-26;2006-04-26;11354,490234;17055,929688;8071,100098
2006-04-27;2006-04-27;11382,509766;17114,539063;8080,100098
2006-04-28;2006-04-28;11367,139648;16906,230469;8047,299805
2006-05-02;2006-05-02;11416,44043;17153,769531;8074,700195
2006-05-08;2006-05-08;11584,540039;17291,669922;8103,600098
2006-05-09;2006-05-09;11639,769531;17190,910156;8122,100098
2006-05-10;2006-05-10;11642,650391;16951,929688;8112,899902
2006-05-11;2006-05-11;11500,730469;16862,140625;8097,299805
2006-05-12;2006-05-12;11380,990234;16601,779297;7954,100098
2006-05-15;2006-05-15;11428,769531;16486,910156;7853,899902
2006-05-16;2006-05-16;11419,889648;16158,419922;7887,100098
2006-05-17;2006-05-17;11205,610352;16307,669922;7658,5
2006-05-18;2006-05-18;11128,290039;16087,179688;7602,299805
2006-05-19;2006-05-19;11144,05957;16155,450195;7614,299805
2006-05-22;2006-05-22;11125,320313;15857,870117;7430,200195
2006-05-23;2006-05-23;11098,349609;15599,200195;7572,5
2006-05-24;2006-05-24;11117,320313;15907,200195;7481,299805
2006-05-26;2006-05-26;11278,610352;15970,759766;7679,5
2006-05-30;2006-05-30;11094,429688;15859,450195;7533,299805
2006-05-31;2006-05-31;11168,30957;15467,330078;7604,399902
2006-06-01;2006-06-01;11260,280273;15503,740234;7617,299805
2006-06-02;2006-06-02;11247,870117;15789,30957;7665,100098
2006-06-06;2006-06-06;11002,139648;15384,860352;7497
2006-06-07;2006-06-07;10930,900391;15096,009766;7549,799805
2006-06-08;2006-06-08;10938,820313;14633,030273;7344,299805
2006-06-09;2006-06-09;10891,919922;14750,839844;7434,600098
2006-06-12;2006-06-12;10792,580078;14833,009766;7332,700195
2006-06-13;2006-06-13;10706,139648;14218,599609;7154,899902
2006-06-14;2006-06-14;10816,910156;14309,55957;7171
2006-06-15;2006-06-15;11015,19043;14470,759766;7324,399902
2006-06-16;2006-06-16;11014,540039;14879,339844;7294,5
2006-06-19;2006-06-19;10942,110352;14860,349609;7364
2006-06-20;2006-06-20;10974,839844;14648,410156;7397,899902
2006-06-21;2006-06-21;11079,459961;14644,259766;7427,100098
2006-06-22;2006-06-22;11019,110352;15135,69043;7483,299805
2006-06-23;2006-06-23;10989,089844;15124,040039;7485,799805
2006-06-26;2006-06-26;11045,280273;15152,400391;7463,600098
2006-06-27;2006-06-27;10924,740234;15171,80957;7406,799805
2006-06-28;2006-06-28;10973,55957;14886,110352;7431,899902
2006-06-29;2006-06-29;11190,799805;15121,150391;7541,100098
2006-06-30;2006-06-30;11150,219727;15505,179688;7652,100098
2006-07-03;2006-07-03;11228,019531;15571,620117;7720,700195
2006-07-05;2006-07-05;11151,820313;15523,94043;7659,200195
2006-07-06;2006-07-06;11225,299805;15321,400391;7704,600098
2006-07-07;2006-07-07;11090,669922;15307,610352;7655,200195
2006-07-10;2006-07-10;11103,549805;15552,80957;7704,399902
2006-07-11;2006-07-11;11134,769531;15473,820313;7669,399902
2006-07-12;2006-07-12;11013,179688;15249,320313;7707
2006-07-13;2006-07-13;10846,290039;15097,950195;7588
2006-07-14;2006-07-14;10739,349609;14845,240234;7506,799805
2006-07-18;2006-07-18;10799,230469;14437,240234;7461,299805
2006-07-19;2006-07-19;11011,419922;14500,259766;7603,600098
2006-07-20;2006-07-20;10928,099609;14946,839844;7659,600098
2006-07-21;2006-07-21;10868,379883;14821,259766;7618,100098
2006-07-24;2006-07-24;11051,049805;14794,5;7780,299805
2006-07-25;2006-07-25;11103,709961;15005,240234;7784,799805
2006-07-26;2006-07-26;11102,509766;14884,070313;7815,100098
2006-07-27;2006-07-27;11100,429688;15179,780273;7856,5
2006-07-28;2006-07-28;11219,700195;15342,870117;7946,5
2006-07-31;2006-07-31;11185,679688;15456,80957;7941,799805
2006-08-02;2006-08-02;11199,919922;15464,290039;7905,200195
2006-08-03;2006-08-03;11242,589844;15470,370117;7810
2006-08-04;2006-08-04;11240,349609;15499,179688;7891
2006-08-07;2006-08-07;11219,379883;15154,05957;7790,799805
2006-08-08;2006-08-08;11173,589844;15464,660156;7793,299805
2006-08-09;2006-08-09;11076,179688;15656,589844;7882,899902
2006-08-10;2006-08-10;11124,370117;15630,910156;7844,200195
2006-08-11;2006-08-11;11088,019531;15565,019531;7858,600098
2006-08-14;2006-08-14;11097,870117;15857,110352;7925,100098
2006-08-15;2006-08-15;11230,259766;15816,19043;8055,299805
2006-08-16;2006-08-16;11327,120117;16071,360352;8089,700195
2006-08-17;2006-08-17;11334,959961;16020,839844;8112,799805
2006-08-18;2006-08-18;11381,469727;16105,980469;8084,200195
2006-08-21;2006-08-21;11345,040039;15969,040039;8057,600098
2006-08-22;2006-08-22;11339,839844;16181,169922;8080,600098
2006-08-23;2006-08-23;11297,900391;16163,030273;8078,700195
2006-08-24;2006-08-24;11304,459961;15960,620117;8099
2006-08-25;2006-08-25;11284,049805;15938,660156;8102,5
2006-08-28;2006-08-28;11352,009766;15762,589844;8118,600098
2006-08-29;2006-08-29;11369,94043;15890,55957;8165,600098
2006-08-30;2006-08-30;11382,910156;15872,019531;8183,399902
2006-08-31;2006-08-31;11381,150391;16140,759766;8168
2006-09-01;2006-09-01;11464,150391;16134,25;8189,100098
2006-09-05;2006-09-05;11469,280273;16385,960938;8226,200195
2006-09-06;2006-09-06;11406,200195;16284,089844;8172,799805
2006-09-07;2006-09-07;11331,44043;16012,410156;8126,100098
2006-09-08;2006-09-08;11392,110352;16080,459961;8167
2006-09-11;2006-09-11;11396,839844;15794,379883;8094,100098
2006-09-12;2006-09-12;11498,089844;15719,339844;8195,099609
2006-09-13;2006-09-13;11543,320313;15750,049805;8215,700195
2006-09-14;2006-09-14;11527,389648;15942,389648;8181,799805
2006-09-15;2006-09-15;11560,769531;15866,929688;8229,299805
2006-09-19;2006-09-19;11540,910156;15874,280273;8232,099609
2006-09-20;2006-09-20;11613,19043;15718,669922;8342,400391
2006-09-21;2006-09-21;11533,230469;15834,230469;8373,599609
2006-09-22;2006-09-22;11508,099609;15634,669922;8294,5
2006-09-25;2006-09-25;11575,80957;15633,80957;8270,5
2006-09-26;2006-09-26;11669,389648;15557,450195;8382,799805
2006-09-27;2006-09-27;11689,240234;15947,870117;8413,099609
2006-09-28;2006-09-28;11718,450195;16024,849609;8416,700195
2006-09-29;2006-09-29;11679,070313;16127,580078;8425,900391
2006-10-02;2006-10-02;11670,349609;16254,290039;8381,200195
2006-10-03;2006-10-03;11727,339844;16242,089844;8390,200195
2006-10-04;2006-10-04;11850,610352;16082,549805;8448,900391
2006-10-05;2006-10-05;11866,69043;16449,330078;8511
2006-10-06;2006-10-06;11850,209961;16436,060547;8521,200195
2006-10-10;2006-10-10;11867,169922;16477,25;8627,200195
2006-10-11;2006-10-11;11852,129883;16400,570313;8638
2006-10-12;2006-10-12;11947,700195;16368,80957;8673,700195
2006-10-13;2006-10-13;11960,509766;16536,539063;8651,099609
2006-10-16;2006-10-16;11980,589844;16692,759766;8632,099609
2006-10-17;2006-10-17;11950,019531;16611,589844;8535,299805
2006-10-18;2006-10-18;11992,679688;16653;8620,200195
2006-10-19;2006-10-19;12011,730469;16551,359375;8620,700195
2006-10-20;2006-10-20;12002,370117;16651,630859;8643
2006-10-23;2006-10-23;12116,910156;16788,820313;8697,599609
2006-10-24;2006-10-24;12127,879883;16780,470703;8662,700195
2006-10-25;2006-10-25;12134,679688;16699,300781;8682,5
2006-10-26;2006-10-26;12163,660156;16811,599609;8673,799805
2006-10-27;2006-10-27;12090,259766;16669,070313;8695,400391
2006-10-30;2006-10-30;12086,490234;16351,849609;8652,400391
2006-10-31;2006-10-31;12080,730469;16399,390625;8569,700195
2006-11-01;2006-11-01;12031,019531;16375,259766;8613
2006-11-02;2006-11-02;12018,540039;16350,019531;8645,700195
2006-11-06;2006-11-06;12105,549805;16364,759766;8798,5
2006-11-07;2006-11-07;12156,769531;16393,410156;8835,599609
2006-11-08;2006-11-08;12176,540039;16215,740234;8776,700195
2006-11-09;2006-11-09;12103,299805;16198,570313;8764,200195
2006-11-10;2006-11-10;12108,429688;16112,429688;8735,799805
2006-11-13;2006-11-13;12131,879883;16022,490234;8752,099609
2006-11-14;2006-11-14;12218,009766;16289,549805;8733,799805
2006-11-15;2006-11-15;12251,709961;16243,469727;8791,200195
2006-11-16;2006-11-16;12305,820313;16163,870117;8789,400391
2006-11-17;2006-11-17;12342,549805;16091,730469;8745,799805
2006-11-20;2006-11-20;12316,540039;15725,94043;8760
2006-11-21;2006-11-21;12321,589844;15734,139648;8774,599609
2006-11-22;2006-11-22;12326,950195;15914,230469;8778,5
2006-11-24;2006-11-24;12280,169922;15734,599609;8641,5
2006-11-27;2006-11-27;12121,709961;15885,379883;8517,299805
2006-11-28;2006-11-28;12136,44043;15855,259766;8462,200195
2006-11-29;2006-11-29;12226,730469;16076,200195;8569,900391
2006-11-30;2006-11-30;12221,929688;16274,330078;8484,599609
2006-12-01;2006-12-01;12194,129883;16321,780273;8420,299805
2006-12-04;2006-12-04;12283,849609;16303,589844;8479,400391
2006-12-05;2006-12-05;12331,599609;16265,759766;8452,099609
2006-12-06;2006-12-06;12309,25;16371,280273;8509,900391
2006-12-07;2006-12-07;12278,410156;16473,359375;8570,900391
2006-12-08;2006-12-08;12307,480469;16417,820313;8540,900391
2006-12-11;2006-12-11;12328,480469;16527,990234;8594
2006-12-12;2006-12-12;12315,580078;16637,779297;8670,099609
